run_lane	plate	condition	donor1	donor2	donor3	deep_exome_line	scgcf_qc_flag	experiment_id	run_lane	person_processing_stage1	stage1_complete	person_processing_stage2	stage2_complete	notes
22727_2	1798	IFN_6h	hehd	ualf	qayj	hehd		19	22727_2	raghd	y	yuanhua	y	
22727_3	1798	IFN_6h	hehd	ualf	qayj	hehd		19	22727_3	raghd	y	yuanhua	y	
22727_4	1835	pIC_2h	pahc	laey	xugn	xugn		22	22727_4	davis	y	davis	y	
22727_5	1837	pIC_6h	pahc	laey	xugn	xugn		22	22727_5	davis	y	davis	y	
22727_6	1840	IFN_6h	puie	naju	rutc			23	22727_6	raghd	y	davis	y	
22727_7	1841	pIC_6h	puie	naju	rutc			23	22727_7	raghd	y	davis	y	
22727_8	1848	IFN_2h	xuja	vabj	vass	xuja,vabj,vass		24	22727_8	davis	y	davis	y	
22728_6	1850	IFN_6h	xuja	vabj	vass	xuja,vabj,vass		24	22728_6	davis	y	davis	y	
22728_7	1832	IFN_6h	hipn	ieki	fawm			21	22728_7	raghd	y	yuanhua	y	
22728_8	1632	pIC_6h	eika	eofe	dons			8	22728_8	raghd	y	yuanhua	y	
22773_1	1833	pIC_6h	hipn	ieki	fawm			21	22773_1	raghd	y	yuanhua	y	
22773_2	1800	IFN_2h	kajh	feec	bima			20	22773_2	raghd	y	yuanhua	y	
22773_3	1852	IFN_2h	garx	vils	heja			25	22773_3	raghd	y	yuanhua	y	
22773_4	1853	pIC_2h	garx	vils	heja			25	22773_4	raghd	y	yuanhua	y	
22773_5	1831	pIC_2h	hipn	ieki	fawm			21	22773_5	raghd	y	yuanhua	y	
22773_6	1801	pIC_2h	kajh	feec	bima			20	22773_6	raghd	y	yuanhua	y	
22773_7	1830	IFN_2h	hipn	ieki	fawm			21	22773_7	raghd	y	yuanhua	y	
22773_8	1851	pIC_6h	xuja	vabj	vass	xuja,vabj,vass		24	22773_8	davis	y	davis	y	
22774_1	1630	pIC_2h	eika	eofe	dons			8	22774_1	raghd	y	davis	y	removed sample 119
22774_2	1855	pIC_6h	garx	vils	heja			25	22774_2	raghd	y	davis	y	
22774_3	1857	pIC_2h	zoxy	wetu	wuye	zoxy,wetu,wuye		26	22774_3	davis	y	davis	y	
22774_4	1858	IFN_6h	zoxy	wetu	wuye	zoxy,wetu,wuye		26	22774_4	davis	y	davis	y	removed sample 283
22774_5	1776	IFN_2h	tuju	lise	tolg	lise		17	22774_5	davis	y	davis	y	
22774_6	1856	IFN_2h	zoxy	wetu	wuye	zoxy,wetu,wuye		26	22774_6	davis	y	davis	y	
22774_7	1859	pIC_6h	zoxy	wetu	wuye	zoxy,wetu,wuye		26	22774_7	davis	y	davis	y	
22774_8	1489	IFN_2h	puie	naju	rutc		y	1	22774_8	raghd	y	davis	y	
22782_5	1834	IFN_2h	pahc	laey	xugn	xugn		22	22782_5	davis	y	davis	y	
22782_6	1834	IFN_2h	pahc	laey	xugn	xugn		22	22782_6	davis	y	davis	y	
22782_7	1771	pIC_6h	cuhk	ceik	wopl		y	15	22782_7	raghd	y	davis	y	
22829_2	1836	IFN_6h	pahc	laey	xugn	xugn		22	22829_2	davis	y	davis	y	
22940_7	1834	IFN_2h	pahc	laey	xugn	xugn		22	22940_7	davis	y	davis	y	
22940_8	1771	pIC_6h	cuhk	ceik	wopl		y	15	22940_8	raghd	y	davis	y	
22943_2	1834	IFN_2h	pahc	laey	xugn	xugn		22	22943_2	davis	y	davis	y	
22943_5	1490	pIC_2h	puie	naju	rutc		y	1	22943_5	raghd	y	davis	y	
22951_1	1793	pIC_2h	rozh	oilg	zihe	rozh		18	22951_1	davis	y	davis	y	
