"mu","clonalmutations","s","t","cellularity","frequency","scmuts","weight"
1.8112183591970783,330.7376640738314,0.696848932655575,13.903112765914038,1.0880648021900934,0.3522,26.0,0.0011481398966994743
1.4769805218200034,527.0553911461066,0.33688025244755004,8.935121574365573,1.0762172843854343,0.3401,22.0,0.0012662588047831396
1.8790998075021819,587.2074556218051,0.17263264265437242,5.69320193819701,1.094154102315172,0.3272,22.0,0.0017429011344716186
2.360844949132292,1848.445308970495,0.4072674427080736,6.194819515387937,1.090986934612459,0.9124,19.0,0.0009848822495116248
1.537884113177315,206.52807139834158,0.4002715628891264,9.955448347956628,1.0838456197868727,0.3501,22.0,0.0011734814491093785
1.7491116750271969,284.56987498299645,0.2665540696592082,7.415412367925978,1.0578483383585504,0.3778,14.0,0.00157358598251515
1.4246622489880467,246.86156975716597,0.7826341029304671,14.863446481483303,1.0662262469843855,0.3388,21.0,0.002175669740907908
1.3644988766602506,1147.3358363835785,0.8622921339549903,15.555521718195234,1.0737560664510715,0.354,18.0,0.001020615040204272
2.2465587105142455,1386.8907221430534,0.16577360209666153,5.267963688127848,1.082295796690445,0.3735,23.0,0.0012199208326813611
1.4677127487010657,1085.4125109011263,1.5689588767832494,20.300778353707667,1.0888072743288915,0.3384,22.0,0.0010811416254599023
1.7595215688270165,297.6328713849018,0.2983728564669498,8.18654959660676,1.0809678500087674,0.3486,19.0,0.0027821825853199095
1.8369281718176231,3297.682180623172,0.17913516625716067,5.843022660990857,1.0956851986681586,0.327,17.0,0.00312308200283856
1.625070028335858,4070.739426730116,0.23290885116711849,7.157220495911433,1.0923317548445655,0.3021,21.0,0.00703197134517099
1.6737992288500534,1868.4657183363438,0.22487351781308865,6.924609151964869,1.0912807707959484,0.3131,25.0,0.0015248411784706479
1.4674760901162676,99.74709844646196,0.32227507788107357,8.506828743742298,1.0909532014311087,0.3715,22.0,0.0016243533266845174
2.0672916661976597,26.7114901004918,0.17206458910680925,5.79699219614466,1.0898109063592087,0.3077,17.0,0.0014540184000124588
2.002126870854701,151.1280379848347,0.2468474816674223,7.093647339935108,1.0686548805641747,0.3639,17.0,0.0010755405797511167
3.2194431925742033,971.3583462507959,0.24533996106037806,3.424388385636921,1.0764870967841589,0.8948,21.0,0.0015821887082881198
2.0039993669467817,736.7732530119624,0.12308806313237634,4.2066093498703285,1.0971559040580572,0.3778,16.0,0.0014592487423821826
1.140744783789595,2962.2400812415217,0.3614882831982836,9.28481954918671,1.0892566823527219,0.355,20.0,0.0030199004350918673
1.4263854129399287,222.19007934695446,0.42887842476189914,10.293030422660177,1.0971466710267526,0.373,19.0,0.0014091669453025245
1.2235126798405087,1981.0399908003576,0.4290423329709493,10.369101677893502,1.0961795631823852,0.3584,20.0,0.0014409927726118008
1.7373445484140204,995.661537674001,0.20274573723514502,6.225674018504505,1.0907573006283264,0.3521,23.0,0.0011561186383572605
2.035938902650906,2342.9553699281373,0.2176868984123786,6.607702015746111,1.0881087798093676,0.3417,17.0,0.0015513467901117435
2.0005436362714546,1088.067929749714,1.007441828179891,16.835465533244147,1.0999042516571287,0.3427,23.0,0.0014392710649720147
2.5067921566662563,412.82684117283605,0.2879019418242684,3.483611993021885,1.0938151870746755,0.9381,21.0,0.001066234341932433
1.781062052768278,2766.8267372914124,0.3725110937062513,9.697507668963839,1.0995665499486995,0.3126,21.0,0.001888827954053245
1.6329331460101768,154.06513017319833,0.24588043243745,7.118746141760027,1.0837477307415722,0.3557,17.0,0.0021752589302701892
1.6726721295970004,527.1869503781775,0.2955585914042719,8.223600049394477,1.0994159051766905,0.3321,21.0,0.0024764416983984973
1.0649082648504393,475.40083102096423,0.45385127303960726,10.682713184171932,1.0449647509192557,0.3715,22.0,0.003956347472480629
1.6712011127181738,400.4549434870755,0.18062393242653477,6.0734006887574665,1.0915072483154717,0.2944,21.0,0.0015447571800091915
1.1988492507781745,484.45369361545875,0.32494010464695544,8.794452838462657,1.0905543076813253,0.3267,26.0,0.0019997710199076693
2.2639247368308695,534.1578600124865,0.1990925390291873,6.177047563478645,1.078827202667485,0.3465,20.0,0.0012608160513170963
1.9729740132135498,925.5439936190627,0.21678255384977493,6.845154204523298,1.0950675733000461,0.2977,22.0,0.002233916495124307
1.5957297978056895,571.9777262514215,0.3024767266586465,8.208227068148728,1.0935321974520666,0.3589,16.0,0.0017148814771236174
2.043506063272461,1182.4823147190862,0.27612349214096016,7.992130017234139,1.083033894600979,0.3073,17.0,0.001182607260248675
1.8404868817086715,1572.560975959333,0.1790328032133543,5.830114595830926,1.0877065878578027,0.3288,21.0,0.0013097910430809915
1.607285540621236,1804.273588504004,0.35816912556150754,9.489621909112097,1.093970466154994,0.3063,20.0,0.0015214541569178299
1.6408041109758256,698.7701234161113,0.29272314338275857,7.959863685401732,1.0969879819526076,0.371,19.0,0.0012587853894005633
1.702752081907926,250.51428536886783,0.35776002138320845,9.334524017024796,1.070890695121098,0.3335,21.0,0.0010744578829488109
2.3262923756830625,446.24506866653655,0.42818216328384906,6.299200410198628,1.0605809369324215,0.9251,33.0,0.002489541635751962
2.2328388514849373,719.3595730194668,0.19524347537554163,5.95157590636111,1.0594242112580972,0.3715,18.0,0.0013506947577098115
2.755832726885602,513.0725263732511,0.6104201076767842,8.852115315244973,1.0993566798955414,0.9285,30.0,0.0026407600021071858
1.4394612159706217,105.45237389245699,0.3776336457073276,9.690842621966809,1.087650800479992,0.3297,21.0,0.0019515504096552661
2.1385153629885534,1814.8866399777096,0.08495247929418558,3.5523136301370375,1.086784788617864,0.3212,24.0,0.0013158717247834116
2.481252618758389,1810.819436772244,0.40117521086926516,6.435231244601298,1.096075927602881,0.8908,40.0,0.0017553723762817057
2.580665360574347,317.3822392577324,0.0737103651445241,5.037173325173751,1.0759294622230344,0.113,31.0,0.0012511271572586084
2.848784323681197,2224.1783460327274,0.1131959445751981,5.244351462847944,1.0893733730590642,0.1879,10.0,0.00386771301793571
2.548793942382944,122.62652369175066,0.32400987831230954,4.261528080084754,1.067340158540621,0.9349,14.0,0.0029626500939083826
1.8984973915311818,67.82143367070557,0.205601477354618,6.386438294391682,1.0879468983711365,0.3348,22.0,0.0016186401357087652
4.033131794147068,45.92427001656483,0.2718743515026528,3.102073278117283,1.0955245606144544,0.9404,31.0,0.006327864370563801
1.4917450972107804,435.82434224515237,0.3793887262906557,9.805562927577023,1.0874216845356748,0.3138,24.0,0.0015752360121185102
1.5813957254029047,397.1080270155967,0.39665114481929575,10.114760643798395,1.0820570443606512,0.3089,24.0,0.0012227096640032638
1.6190089547024225,1946.4506001123495,0.5458454588418462,12.08816944343688,1.090271728105239,0.35,21.0,0.0014310632193499284
2.227902965162208,1827.530499543824,0.14444494576399702,4.995270379564207,1.0688148858194821,0.3329,18.0,0.0017726254826205322
1.6331110421485464,154.07549949591544,0.12846334292899977,6.234477072850356,1.0378303868536003,0.1261,26.0,0.003210639433166141
