"mu","clonalmutations","s","t","cellularity","frequency","scmuts","weight"
15.70027756506756,354.40140489870805,0.2922865105243333,8.769735762809008,1.0898937588863384,0.2311,274.0,0.0019447749954862043
14.980546293739286,975.0178996973204,0.5647718457834849,12.746197926407637,1.0708579852394535,0.2694,271.0,0.0016305134381165013
12.372225393776445,760.6911442510609,0.555018337372116,12.86864236917853,1.0733403374258337,0.2257,257.0,0.0020383213947217757
12.198353653949358,1677.0531971053629,0.863830918548957,16.138948876058382,1.092826935949903,0.2334,286.0,0.0016377632669127055
16.164125021023548,1643.2683449139422,0.3017489119204564,8.895819968578108,1.0865814972549515,0.2385,279.0,0.002120833879375878
16.58059607398959,1510.3680776900976,0.4585477993888259,11.479317114948806,1.055965841396295,0.2367,250.0,0.0013861789370250507
11.90710594022373,503.6524958838222,1.1085528819230546,18.008026717872042,1.0983613735281734,0.2479,269.0,0.002323456788138716
15.945136205853263,310.740326302535,0.38224806276743273,10.250893386994937,1.0499319604630684,0.2447,245.0,0.0016231536911432908
15.990765240983713,1325.7524055738538,0.36718838004093685,10.083935877447969,1.0845361357919356,0.2318,246.0,0.001339505369032486
16.276678232736245,1331.5991660322575,0.39489002766936443,10.468307703814716,1.073775470463241,0.2426,289.0,0.0013185616321858048
11.642853046838356,3240.0047225343587,0.5059751877666199,12.240022688007151,1.0682596809541998,0.2221,259.0,0.0020880467107008156
14.101174801889815,3788.6857463238575,0.6230997735123185,13.593002288594349,1.0838471693654184,0.2458,232.0,0.0027056561107224168
15.701814810969921,2301.745485437611,0.3588934890818787,10.009186228266634,1.0945302254898834,0.222,278.0,0.0014821857888189828
15.862367969666206,501.4507312651326,0.512967400185956,12.1732180798657,1.0358479833874168,0.2494,289.0,0.001604070716270748
14.48612981630257,985.5213840601227,0.46856084378494206,11.56639250699325,1.0862278410171973,0.2465,265.0,0.0020720343180067016
13.931859068182089,4040.4008632907294,0.7682766322145943,15.114517946597957,1.0709912801408996,0.2567,177.0,0.0032803342770982174
