"mu","clonalmutations","s","t","cellularity","frequency","scmuts","weight"
2.09571328085595,777.7100323657762,0.3109529138679897,10.181699770594209,1.0862438912178538,0.1065,35.0,0.0015738786977040591
2.133290790458501,1583.4219313006172,0.24472858555497273,9.311405623370689,1.0871361369119477,0.0817,61.0,0.0009276915573899713
1.9233430620125385,40.332020200074794,0.4289368574635427,12.293962060170307,1.0806678189863976,0.0879,41.0,0.0013913803051186775
2.577189419770031,406.786076047028,0.38510269304101896,11.762617660162068,1.0995783993537585,0.0789,48.0,0.0011801120301427243
2.1129751178493565,704.6749343092354,0.2718543191496859,9.408938843302392,1.0954103814984644,0.1123,50.0,0.0017810767719144498
2.328665759275712,177.4204445397139,0.21615492923429583,9.079848862297634,1.0930413695201602,0.0635,39.0,0.0010954163689777985
1.551456986095491,722.1398991907868,0.4303019002961357,11.720861964329869,1.0645026261344408,0.1444,33.0,0.0014547551960668776
2.8420219659312,203.2104883050863,0.763412173416557,10.335109412874312,1.0612999288104,0.9415,34.0,0.001819669818696308
2.4044283392651318,493.3778662090938,0.06713857269265368,4.8674041098529255,1.0888783302409801,0.1128,42.0,0.0010945999780746219
1.427723324403671,1169.6056248319728,0.7628774555197654,15.84027986900595,1.098349371251718,0.1305,34.0,0.001147336578627184
2.165505485243316,128.9631931282447,0.2803279610971506,9.493606393132977,1.0233180710152627,0.1186,26.0,0.006683965655714239
2.378962281651285,2998.334547404951,0.1614804331901268,7.050958274959459,1.0912706426778744,0.1214,25.0,0.003409276199805098
2.0721863065514303,1961.592162881076,0.3237663041307026,10.306754446409213,1.0957795123794523,0.1149,19.0,0.0016763623543060576
1.6281423736533776,2184.1161468581186,0.4695160920985853,12.458736166970244,1.0744286406771175,0.1254,37.0,0.0033839767215947812
1.8501203801538977,19.336785139773383,0.7754916861950256,16.322510983296134,1.045693810918654,0.0907,16.0,0.003784684394915118
2.016750953432809,459.8107293861008,0.3302858893877153,10.612950979792785,1.090773525855449,0.0984,60.0,0.0010606013879964442
1.7350633158556215,347.9021486826132,0.15569328282243905,7.066448487954373,1.0805136600129042,0.1097,33.0,0.001241262255858568
1.6042294385997549,40.017237524339635,1.0008925788604826,18.50235803710945,1.067181797495444,0.0641,17.0,0.0012021963764350316
1.9636613168665504,302.4009187871043,0.3888847112590158,11.289745603868527,1.0967959207437061,0.1229,30.0,0.0010554676272498975
2.3932518819946518,1446.2407415658056,0.11292332759920516,5.798250572029799,1.0936048967637306,0.1314,28.0,0.0011636428741591401
1.7924738697147593,810.4446606444913,0.5683297004329269,13.654779233698175,1.0894337079851146,0.1369,34.0,0.0016992954469154727
1.94642185468265,354.0442044352965,0.33085784490804365,10.285309017835381,1.0880008874266625,0.1284,48.0,0.0010740350091785365
2.515286930635832,1209.7885633020194,0.836826419000125,11.78581058178597,1.099388319913391,0.9069,32.0,0.0014686452594907665
1.6446968351779832,1251.0452980415014,1.047958559904073,18.46521209727802,1.081147226740677,0.1004,19.0,0.0012845582234057094
2.062721522007897,9.551652971588737,0.4505412962173252,12.456108127305969,1.0311999257229834,0.1,44.0,0.007240074424642321
2.7334942287346924,1127.8905548350126,0.06416108563097649,4.445095735551216,1.0913344700325953,0.1405,27.0,0.0014639997842789988
1.6425689818668598,729.793468590063,0.7564583724445352,15.855262715802397,1.080580391623139,0.121,23.0,0.0016029406150142888
2.4795234482468764,170.15917226239094,0.4989091552540523,7.022143465235527,1.0772863816233675,0.9414,14.0,0.0013018891758585756
2.584436138062337,2.8215074089782775,0.35423307700172674,11.16907616311503,1.0846150783957844,0.0863,53.0,0.0011096899111613825
1.8102225564965277,440.81299322193513,0.26255577505093863,9.527877970427205,1.0866218453048706,0.0897,37.0,0.000989365122177119
2.4452765820679634,8.885175449855979,0.23946542192014714,8.312138821731157,1.016563891487011,0.1586,31.0,0.00900378904742435
1.460644366688633,4472.514548410423,0.7046388788307184,14.970635659298598,1.0985028405069437,0.1688,21.0,0.016519367811823088
2.2535870379350333,540.7456575735341,0.19822098651843717,8.449823229076378,1.0936295488034848,0.078,35.0,0.0010613981660567246
1.5185372108935524,472.15190021208764,0.9225682353146006,17.218313474241807,1.0932121933800631,0.1372,32.0,0.0014492255019047243
2.487595721358206,160.6788656765275,0.13207832192367466,6.416698680774989,1.06814308268834,0.1181,16.0,0.002187127701110713
2.32234778789266,330.6144181740133,0.036976841692861605,4.75825764897726,1.0742499915544022,0.071,34.0,0.0009479193866959224
2.405106131595504,928.61592972737,0.4222806550766687,11.764035087660503,1.0984453023205232,0.1266,16.0,0.0011642170352332683
1.9609270031291202,1386.3258713650687,0.2697660046101827,9.099486394829007,1.0975369849020742,0.1374,30.0,0.0012806196139699627
2.1074269107319274,255.37555028680958,0.07693788809045075,4.9861544854736035,1.0785243033826992,0.1234,26.0,0.001177187855660082
3.2556768235565725,1051.7981748090865,0.4580742691707677,12.682784120059102,1.08304971082562,0.09,19.0,0.00278768225398869
2.373750041949705,639.7374004995354,0.28709419529884833,4.029417118413662,1.0977212492332047,0.9107,22.0,0.0010280831852231434
2.0407553404463847,289.82857106437564,0.8871134819811649,16.840796215283962,1.0721855448838715,0.1487,30.0,0.00105447825714805
2.0751911043897957,537.9734382465107,0.1445112249594929,6.466966074423649,1.0888676768703314,0.1389,33.0,0.0014106902243365615
2.650994339663383,199.0458054120918,0.3551672477854473,10.867747827946584,1.0896016446233967,0.1118,42.0,0.0012542417696262277
1.5080055557433314,1402.2800101071487,0.2910226909591944,9.690852618057859,1.0930291942126065,0.1184,36.0,0.0015946888344954761
2.6719269057213175,223.53752884217784,0.21525646757563763,9.156246485395014,1.0790818003861848,0.059,72.0,0.0011979303036141167
1.6458942029072556,49.436666427996215,0.2503232270020136,8.80921344670562,1.063744650963076,0.1295,43.0,0.0016782661468166
2.238683499103778,316.35294585211363,1.0670631400968873,18.500424967280065,1.0583471933058304,0.1126,44.0,0.0023760850331435287
1.9225771817117767,363.3721882596476,0.19238965057713028,7.796812691954692,1.0947741303638578,0.1153,22.0,0.00445546729983094
3.525403172529188,377.2432720790014,0.1002396488609481,6.533364722705974,1.0982862635707327,0.0641,44.0,0.0036979081909001388
1.4077687153974998,435.7124079446976,1.4820614377447545,20.68825761212304,1.0832953430299481,0.1528,24.0,0.0014508011703232248
1.8433934551264577,201.7612352134351,0.805109736772563,16.385114074581228,1.0966064848698767,0.1131,36.0,0.0011494655305063718
2.1556914864277004,524.6026236459654,0.7443510895209029,15.898486584602736,1.0786726856111681,0.103,42.0,0.001150983659326443
2.353768023838346,1142.4732992506408,0.4208764268713804,12.038783876590909,1.0964032771894998,0.0989,44.0,0.0012820675246048904
3.0873360451899567,331.3763815535524,0.1388873051867925,7.111259702265591,1.0980467104473068,0.0811,44.0,0.0022824923671556797
2.708645444306082,409.8833477265862,0.9057895771521225,11.95027828763441,1.0626922858711316,0.9326,43.0,0.0014520207095693879
2.4162151184731613,1256.331850552201,0.3018937006185576,10.21339704581144,1.075238276661417,0.0916,37.0,0.0008690432288330611
2.383896461840318,1323.023339879019,0.08119779181990869,5.219089814690809,1.0962229299931368,0.1139,41.0,0.0010903762382175862
1.9531952794863132,191.38672513758547,0.4851588160977629,12.462652909920912,1.0743754680105027,0.1497,24.0,0.0013258277297185858
1.4665462832014113,2442.234730427135,0.8158885095010563,16.382641775187423,1.0979242710205752,0.1253,32.0,0.0025284482327572527
2.129133692380127,221.68113745408687,0.10032492904296922,5.604427278526119,1.077548603016712,0.1216,38.0,0.0009204651147799944
