"mu","clonalmutations","cellularity","weight"
21.026937976927606,1.0381022948909049,1.0422740003511726,0.00304723518856791
21.745508161840373,23.223223013863787,1.0504051520438433,0.003096341281788302
20.402111952248873,2309.385746875206,1.090381605685398,0.003274908497766098
24.5564858785699,17.572003295679224,1.0290529187133883,0.004334353683994622
18.77946792789872,2211.3957497497363,1.061109597696751,0.0029542484947232502
20.50320914315394,266.1849364615978,1.075871010392128,0.003025402041787549
18.294462257114095,1389.6555399972108,1.0699196421580197,0.002757678937580165
20.63817267083717,2315.464154269855,1.071615673186601,0.0031587777029683695
22.1286138919141,853.5869810578192,1.0896590976299259,0.003088835837228739
22.311444398251474,1922.692360090638,1.0972351905772855,0.003067195837650702
23.844294583485958,326.19630418707436,1.0765596741408805,0.003247730426533589
19.134756738568868,1601.5928745675137,1.0933609306009502,0.003009107269790542
19.98389729550212,256.5420579664244,1.0580308996360437,0.003079237790482607
26.72619566777014,334.1534212348895,1.0584272905396988,0.004734297760813358
20.69604179479883,283.1828217801972,1.0353922733912702,0.003595048512621008
20.060178442444517,47.49218188191162,1.079785479511311,0.003156530606011326
17.267107087203954,792.8564593517483,1.0732604431769883,0.003298574708271369
20.426192774242672,100.90288526313725,1.0430504956629914,0.002940709170425416
15.529879300673137,2692.976738254689,1.0985192988082642,0.006553578273480524
22.170678612584233,682.109055386014,1.0618798085210364,0.002851045435906198
22.46700658582106,1277.7793051436172,1.0589623085967022,0.0026584422708258587
20.479780502301544,61.99991691812045,1.08120385868702,0.003174465296817194
20.663545603437118,990.5290726249209,1.086615879793086,0.0029992223324071133
18.402218718011035,221.6878294428766,1.0727985184448827,0.0032351139829751505
20.520989729304915,534.4486775442865,1.060700239191199,0.0029228818874510744
16.703610810548632,1064.925664723062,1.0912867527637424,0.003756840324987763
16.72499321470145,24.48249034625951,1.0107445352256577,0.010232159449219343
18.315024085934464,182.05484290500613,1.0928103705063026,0.0037303525336189946
16.596797264954535,1507.030168918967,1.0823218850044969,0.003646612403395018
25.144818272990634,2638.7275862367283,1.0990038675740355,0.0054182511242919845
19.457891740143342,145.28530177933953,1.0968882020692978,0.003749023381099875
20.69600851004861,833.1512601333695,1.0765323462292533,0.0028593336497840086
22.71461605134486,198.90139918084844,1.0547352289062588,0.002836408657592989
20.1911024785894,1861.6208434991663,1.097474305628956,0.003067195837650702
19.033679676995643,333.9295978237917,1.092448981783034,0.003502123193473638
18.398794276362665,711.9078740068721,1.0623887945462258,0.0030365411079759518
